 ,Area,Mean,Min,Max,XM,YM,Perim.,BX,BY,Width,Height
7707,0.026,255,255,255,67.615,25.142,0.820,67.549,25.011,0.197,0.263
7708,0.009,255,255,255,5.744,25.208,0.317,5.711,25.142,0.066,0.131
7709,0.526,255,255,255,31.029,25.634,2.644,30.591,25.208,0.853,0.853
7710,0.013,255,255,255,67.648,25.438,0.448,67.615,25.339,0.066,0.197
7711,0.638,255,255,255,43.082,25.832,2.891,42.604,25.405,0.919,0.853
7712,0.552,255,255,255,9.737,25.899,2.683,9.322,25.470,0.853,0.853
7713,0.435,255,255,255,17.465,25.896,2.366,17.068,25.536,0.788,0.722
7714,0.004,255,255,255,67.713,25.635,0.186,67.680,25.602,0.066,0.066
7715,0.004,255,255,255,69.289,25.700,0.186,69.256,25.667,0.066,0.066
7716,0.004,255,255,255,67.713,25.766,0.186,67.680,25.733,0.066,0.066
7717,0.332,255,255,255,6.856,26.149,2.087,6.565,25.799,0.591,0.722
7718,0.797,255,255,255,44.950,26.299,3.247,44.442,25.799,0.985,0.985
7719,0.030,255,255,255,67.807,26.141,0.951,67.746,25.930,0.131,0.394
7720,0.022,255,255,255,26.554,26.094,0.672,26.389,26.061,0.328,0.066
7721,0.017,255,255,255,7.631,26.307,0.503,7.549,26.192,0.131,0.197
7722,0.539,255,255,255,33.349,26.622,2.629,32.954,26.192,0.788,0.853
7723,0.228,255,255,255,4.230,26.637,1.809,4.004,26.324,0.460,0.656
7724,0.009,255,255,255,48.807,26.718,0.317,48.775,26.652,0.066,0.131
7725,0.004,255,255,255,5.350,26.816,0.186,5.317,26.783,0.066,0.066
7726,0.733,255,255,255,31.046,27.337,3.077,30.591,26.849,0.919,0.985
7727,0.733,255,255,255,27.283,27.489,3.093,26.783,26.980,0.985,0.985
7728,0.198,255,255,255,4.051,27.368,1.678,3.873,27.046,0.394,0.656
7729,0.521,255,255,255,5.486,27.466,2.629,5.055,27.046,0.853,0.788
7730,0.013,255,255,255,68.020,27.232,0.371,67.943,27.177,0.131,0.131
7731,0.452,255,255,255,15.827,27.609,2.459,15.427,27.243,0.788,0.788
7732,0.004,255,255,255,68.173,27.407,0.186,68.140,27.374,0.066,0.066
7733,0.009,255,255,255,68.074,27.505,0.371,68.009,27.440,0.131,0.131
7734,0.633,255,255,255,15.016,28.345,2.907,14.573,27.899,0.919,0.919
7735,0.004,255,255,255,68.173,27.998,0.186,68.140,27.965,0.066,0.066
7736,0.004,255,255,255,68.435,27.998,0.186,68.402,27.965,0.066,0.066
7737,0.478,255,255,255,27.505,28.454,2.475,27.112,28.031,0.788,0.853
7738,0.004,255,255,255,68.238,28.195,0.186,68.206,28.162,0.066,0.066
7739,0.030,255,255,255,37.010,28.298,0.595,36.893,28.228,0.263,0.131
7740,0.004,255,255,255,68.370,28.260,0.186,68.337,28.228,0.066,0.066
7741,0.577,255,255,255,25.159,28.723,2.721,24.748,28.293,0.853,0.853
7742,0.590,255,255,255,46.316,28.764,2.744,45.886,28.359,0.853,0.788
7743,0.009,255,255,255,68.370,28.621,0.317,68.337,28.556,0.066,0.131
7744,0.009,255,255,255,68.567,28.687,0.317,68.534,28.621,0.066,0.131
7745,0.814,255,255,255,52.283,29.542,3.355,51.729,29.015,1.050,1.050
7746,1.525,255,255,255,12.699,29.727,6.333,11.488,29.147,2.298,1.116
7747,0.875,255,255,255,40.766,29.705,3.394,40.241,29.147,1.050,1.050
7748,0.142,255,255,255,67.391,30.035,2.581,67.286,29.475,0.197,1.182
7749,0.552,255,255,255,44.132,30.103,2.721,43.720,29.672,0.853,0.853
7750,0.353,255,255,255,28.485,30.101,2.103,28.162,29.737,0.656,0.722
7751,0.487,255,255,255,23.583,30.316,2.497,23.173,29.934,0.788,0.788
7752,0.004,255,255,255,68.501,29.967,0.186,68.468,29.934,0.066,0.066
7753,0.534,255,255,255,43.320,30.499,2.629,42.932,30.066,0.788,0.853
7754,0.009,255,255,255,20.744,30.394,0.371,20.678,30.328,0.131,0.131
7755,0.004,255,255,255,68.567,30.361,0.186,68.534,30.328,0.066,0.066
7756,0.121,255,255,255,67.505,31.240,2.164,67.352,30.788,0.263,0.919
7757,0.004,255,255,255,68.632,30.820,0.186,68.599,30.788,0.066,0.066
7758,0.629,255,255,255,21.440,31.495,2.891,21.007,31.050,0.853,0.919
7759,0.457,255,255,255,30.627,31.635,2.404,30.263,31.247,0.722,0.788
7760,0.009,255,255,255,68.928,31.543,0.279,68.862,31.510,0.131,0.066
7761,0.009,255,255,255,4.562,31.838,0.317,4.530,31.772,0.066,0.131
7762,0.552,255,255,255,49.763,32.204,2.629,49.365,31.772,0.788,0.853
7763,0.004,255,255,255,68.764,32.068,0.186,68.731,32.035,0.066,0.066
7764,0.009,255,255,255,4.530,32.166,0.371,4.464,32.101,0.131,0.131
7765,0.009,255,255,255,67.582,32.166,0.317,67.549,32.101,0.066,0.131
7766,0.004,255,255,255,4.497,32.330,0.186,4.464,32.298,0.066,0.066
7767,0.633,255,255,255,27.525,32.799,2.907,27.046,32.363,0.919,0.919
7768,0.004,255,255,255,68.764,32.396,0.186,68.731,32.363,0.066,0.066
7769,0.026,255,255,255,4.497,32.626,0.842,4.464,32.429,0.066,0.394
7770,0.043,255,255,255,67.588,32.626,1.005,67.483,32.429,0.197,0.394
7771,0.702,255,255,255,29.022,32.951,3.022,28.556,32.494,0.919,0.919
7772,0.009,255,255,255,68.764,32.560,0.317,68.731,32.494,0.066,0.131
7773,0.328,255,255,255,3.502,32.934,2.049,3.217,32.560,0.591,0.722
7774,0.715,255,255,255,32.590,33.065,3.131,32.101,32.560,0.985,0.985
7775,0.491,255,255,255,60.061,32.959,2.497,59.672,32.560,0.788,0.788
7776,0.547,255,255,255,13.624,33.079,2.705,13.195,32.691,0.853,0.788
7777,0.707,255,255,255,49.766,33.344,3.022,49.300,32.888,0.919,0.919
7778,0.707,255,255,255,58.751,33.579,3.000,58.293,33.085,0.919,0.985
7779,0.582,255,255,255,16.463,33.633,2.760,16.017,33.217,0.853,0.853
7780,0.009,255,255,255,68.829,33.479,0.317,68.796,33.413,0.066,0.131
7781,0.004,255,255,255,67.648,33.775,0.186,67.615,33.742,0.066,0.066
7782,0.474,255,255,255,21.939,34.199,2.497,21.532,33.807,0.788,0.788
7783,0.565,255,255,255,28.847,34.450,2.683,28.424,34.004,0.853,0.853
7784,16.341,255,255,255,5.388,42.488,67.321,3.282,34.070,4.792,15.886
7785,0.504,255,255,255,61.134,34.465,2.629,60.722,34.070,0.853,0.788
7786,0.543,255,255,255,38.277,34.725,2.667,37.877,34.333,0.853,0.788
7787,0.039,255,255,255,67.648,34.650,1.082,67.549,34.398,0.197,0.460
7788,0.004,255,255,255,68.829,34.431,0.186,68.796,34.398,0.066,0.066
7789,0.004,255,255,255,68.829,34.562,0.186,68.796,34.529,0.066,0.066
7790,0.633,255,255,255,5.185,35.129,2.869,4.726,34.661,0.919,0.919
7791,0.004,255,255,255,67.648,34.956,0.186,67.615,34.923,0.066,0.066
7792,0.461,255,255,255,17.929,35.432,2.459,17.527,35.055,0.788,0.788
7793,0.069,255,255,255,67.611,35.321,1.290,67.549,35.055,0.131,0.591
7794,0.655,255,255,255,65.106,35.884,2.946,64.661,35.448,0.919,0.919
7795,0.608,255,255,255,33.540,36.124,2.869,33.085,35.645,0.919,0.919
7796,0.009,255,255,255,67.615,35.777,0.371,67.549,35.711,0.131,0.131
7797,0.375,255,255,255,68.342,36.083,2.312,68.009,35.711,0.656,0.788
7798,1.500,255,255,255,39.071,36.479,4.940,38.206,35.777,1.707,1.379
7799,1.715,255,255,255,17.164,36.475,5.126,16.214,35.842,1.772,1.379
7800,0.004,255,255,255,68.895,35.875,0.186,68.862,35.842,0.066,0.066
7801,0.771,255,255,255,52.738,36.418,3.170,52.254,35.908,0.985,0.985
7802,0.013,255,255,255,64.256,35.985,0.371,64.201,35.908,0.131,0.131
7803,20.900,255,255,255,63.214,47.935,72.517,55.930,35.908,12.013,22.845
7804,1.125,255,255,255,68.732,37.881,9.775,68.271,35.974,0.788,4.333
7805,0.004,255,255,255,69.026,36.138,0.186,68.993,36.105,0.066,0.066
7806,0.427,255,255,255,11.915,36.668,2.350,11.554,36.302,0.722,0.722
7807,0.810,255,255,255,64.529,37.061,3.262,64.004,36.564,1.050,0.985
7808,0.668,255,255,255,47.516,37.147,2.984,47.068,36.696,0.919,0.919
7809,0.599,255,255,255,31.094,37.259,2.798,30.656,36.827,0.853,0.853
7810,0.664,255,255,255,23.089,37.509,3.000,22.648,37.024,0.919,0.985
7811,0.267,255,255,255,6.872,37.436,1.863,6.565,37.155,0.591,0.591
7812,0.004,255,255,255,5.153,37.385,0.186,5.120,37.352,0.066,0.066
7813,0.009,255,255,255,5.153,37.680,0.317,5.120,37.615,0.066,0.131
7814,0.922,255,255,255,12.493,38.263,4.121,11.751,37.812,1.444,0.919
7815,1.159,255,255,255,55.014,38.554,4.383,54.551,37.812,0.985,1.575
7816,0.431,255,255,255,32.185,38.311,2.350,31.838,37.943,0.722,0.722
7817,0.009,255,255,255,1.214,38.074,0.317,1.182,38.009,0.066,0.131
7818,0.422,255,255,255,14.781,38.463,2.366,14.442,38.074,0.722,0.788
7819,0.220,255,255,255,13.672,38.385,1.639,13.392,38.140,0.525,0.525
7820,0.827,255,255,255,46.056,38.713,3.301,45.558,38.206,0.985,1.050
7821,131.107,255,255,255,31.076,61.278,427.918,1.247,38.271,66.302,30.591
7822,0.009,255,255,255,68.895,38.337,0.317,68.862,38.271,0.066,0.131
7823,0.414,255,255,255,15.213,39.449,2.366,14.836,39.059,0.722,0.788
7824,1.375,255,255,255,59.126,39.922,4.252,58.490,39.256,1.313,1.313
7825,0.629,255,255,255,28.165,39.825,2.907,27.702,39.387,0.919,0.919
7826,0.603,255,255,255,30.866,40.048,2.869,30.394,39.584,0.919,0.919
7827,0.625,255,255,255,9.048,40.071,2.853,8.600,39.650,0.919,0.853
7828,0.672,255,255,255,54.671,40.225,2.984,54.223,39.781,0.919,0.919
7829,0.500,255,255,255,34.546,40.337,2.590,34.136,39.912,0.788,0.853
7830,0.633,255,255,255,60.626,40.385,2.853,60.197,39.912,0.853,0.919
7831,0.487,255,255,255,29.402,40.381,2.497,29.015,39.978,0.788,0.788
7832,0.500,255,255,255,55.744,40.448,2.536,55.339,40.044,0.788,0.788
7833,0.763,255,255,255,23.540,40.589,3.170,23.042,40.109,0.985,0.985
7834,0.073,255,255,255,68.277,40.679,1.377,68.140,40.438,0.263,0.525
7835,0.013,255,255,255,68.545,40.580,0.371,68.468,40.503,0.131,0.131
7836,0.009,255,255,255,28.884,40.799,0.279,28.818,40.766,0.131,0.066
7837,0.039,255,255,255,68.479,41.061,0.897,68.402,40.831,0.131,0.394
7838,0.590,255,255,255,33.403,41.461,2.814,32.954,41.028,0.919,0.853
